name,teams,teams_cnt,tournaments,countries,finals,first places,spirit of the game,MVP,tournaments organized
Маргарита Гилязова,['Лемон Грасс'],1,28,2,4,,2,,
Владимир Главатских,['FireDogs'],1,22,2,5,3,6,1,
Виктория Гладкая (Бутковская),"['Ре:микс', 'Мэдкэпс']",2,12,2,4,1,2,,
Даниил Гладкий,['Мэдкэпс'],1,61,4,7,3,2,1,
Алексей Глазков,['Самарские Рыси'],1,11,,2,2,1,,
Александр Глисков,"['ЮПитер', 'СПбГУ']",2,46,5,10,5,3,1,
Сергей Глубоков,['Скай Про'],1,11,2,1,,1,2,
Борис Гойхман,"['MIPT', 'Сони Патан']",2,20,,1,,3,,
Виктория Голик,['ИТМО'],1,,,,,,,
Илья Голоенко,['Good Vibes'],1,15,2,4,3,1,,
Сергей Голосов,['МГТУ им. Баумана'],1,47,,4,3,5,,
Ирина Голосова,[],0,47,4,7,3,8,1,1
Евгений Голубев,['МГТУ им. Баумана'],1,19,,3,3,2,,1
Кирилл Голышков,['МГТУ им. Баумана'],1,34,,11,5,1,,
Александр Горбач,"['Спинин', 'Шахтер']",2,9,,2,1,2,,
Анна Горева,"['Катюша', 'Элвис Пресли', 'СПбГУ']",3,44,3,16,9,4,1,
Игорь Горин,['MIPT'],1,12,,,,2,,
Сергей Горленко,['Fusion'],1,11,,,,2,,
Милана Горлова,"['Бриллианс', 'МГТУ им. Баумана', 'СорриБро']",3,45,2,18,13,6,,
Алена Грачева,"['MIPT', 'Лемон Грасс']",2,11,,,,1,,1
Валерия Грачёва,"['Брайт Вейв', 'РГГУ']",2,15,,,,,,
Анастасия Гречухина,['Сани'],1,8,,1,1,1,,1
Григорий Гриб,['Катюша'],1,30,,14,10,4,,
Анна Грибкова,['МГУ'],1,44,3,6,2,1,1,
Илья Григоркевич,"['ЧелOut', 'Freedom', 'Челябинск']",3,13,,3,2,,,
Сардана Григорьева,['ИТМО'],1,8,,2,1,1,,
Наталья Гришина,['Сборная ВлГУ'],1,7,,1,1,2,,
Владимир Громов,['Позитрон'],1,73,2,10,8,4,1,
Лука Грубин,[],0,30,,6,2,3,,
Владислав Грудовик,['Феникс'],1,3,,1,1,1,,
Полина Губанова,"['МГТУ им. Баумана', 'Бриллианс', 'СорриБро']",3,106,13,38,22,12,5,1
Роман Губин,['ЮПитер'],1,76,3,22,16,1,6,
Никита Гугин,"['СПбГУ', 'Флаинг Степс']",2,26,,5,3,1,,
Johnny Goode,"['РэгДолл', 'Бивни']",2,11,,2,1,1,,
Елена Гудкова,[],0,12,,3,2,3,,
Станислав Гуров,['Позитрон'],1,72,,6,4,4,,2
Ирина Гурова,"['Позитрон', 'ГУ «Дубна»']",2,26,,1,1,2,,
Арсений Гусев,['Сокол'],1,25,4,5,2,1,,
Вячеслав Гусев,['Норд Паззл'],1,1,,,,,,
Регина Гусейнова,['Самарские Рыси'],1,12,,4,2,1,,
Эдуард Гущин,"['Незванные Ghosti', 'Биозон']",2,43,2,7,3,4,,
Артем Давыдов,"['Тени', 'СПбПУ']",2,95,8,19,10,3,,
Артём Давыдов,"['ЮПитер', 'Скай Про', 'Флаинг Степс']",3,60,,3,2,3,,
Екатерина Данилова,['Easy Frisbee Team'],1,17,2,7,4,4,1,
Кирилл Дегтярёв,['ФинУниверситет'],1,21,,1,1,2,1,
Алексей Демин,[],0,9,,1,,3,,
Сергей Демин,"['Вышка', 'Ми энд Май Манки']",2,33,,8,3,3,,1
Ярослав Денисов,['Вышка'],1,3,,1,1,,,
Владимир Дерябкин,[],0,6,,2,1,1,,
Сергей Дзан,['Вышка'],1,12,,1,,,,
Александр Дзибий,['Импульс'],1,9,,4,,1,,
Андрей Дзю,['МГТУ им. Баумана'],1,13,,,,1,,
Александр Дзюндзя,['Спэйс Джэм'],1,29,,9,4,5,2,
Леонид Дивисенко,"['Мустанги', 'РеалФайв']",2,84,5,33,20,3,3,
Денис Дмитриев,['Т.А.К.'],1,1,,1,1,,,
Павел Дмитриев,"['ОксиДискО', 'СПбПУ', 'ФТШ']",3,86,16,14,5,5,,
Дмитрий Добровицкий,"['ИТМО', 'Тени']",2,30,4,5,3,3,,
Антон Довгаль,['Новгородские медведи'],1,7,,2,1,1,,
Анастасия Доленко,['КАССΣОПΣЯ'],1,,,,,,,
Илья Донгузов,['Позитрон'],1,7,,1,1,,,
Алёна Донерстак,['Космик Гелз'],1,41,2,21,14,10,4,
Сергей Доронин,"['Нижний Новгород', 'НГТУ']",2,68,,19,9,12,1,
Анастасия Дорошенко,['СПбГУКИ'],1,49,2,12,8,4,,
Анна Дощенко,['ИТМО'],1,14,,4,,3,,
Люция Дроздова,"['Бэтс', 'Guess Who', 'FireDogs']",3,40,3,10,5,5,5,5
Игорь Дружков,['Спектр'],1,6,,1,,,,
Дмитрий Дубильт,['Ми энд Май Манки'],1,133,7,15,8,5,3,
Юрий Дубинин,['Старт'],1,32,2,8,7,3,8,
Денис Дубовик,['Сборная Бикини-Боттом'],1,7,2,3,,1,,
Екатерина Дубоделова,[],0,33,8,12,5,6,3,
Антон Дудась,['Старт'],1,21,,5,3,1,,
Иван Дудась,['Старт'],1,19,,2,2,1,1,3
Сергей Дурасов,[],0,70,6,10,4,5,3,
Мария Евсина,[],0,26,2,5,3,5,,
Владислав Егоров,['Импульс'],1,21,2,4,1,3,2,1
Анастасия Егорова,"['Сборная ВлГУ', 'Гирс-Юнайтед']",2,15,,1,,1,,1
Звонарева Елизавета,"['Брайт Вейв', 'Бриллианс']",2,39,2,2,1,2,1,
Олеся Елфимова,[],0,65,8,19,5,11,1,
Мария Еремеева,['Элвис Пресли'],1,9,2,4,3,,,
Алексей Еременков,"['Долгорукие', 'МГТУ им. Баумана']",2,31,6,4,2,1,,
Вова Ерофеев,['Смельчаки'],1,8,,1,1,,,
Дмитрий Есионов,['Старт'],1,7,,3,3,,,
