name,teams,teams_cnt,tournaments,countries,finals,first places,spirit of the game,MVP,tournaments organized
Руслан Турсунбаев,"['Лаки Грасс', 'МГТУ им. Баумана', 'Рампейдж']",3,128,5,47,29,14,7,1
Рохини Тханга,[],0,1,,,,,,
Сергей Тыньянов,"['ИТМО', 'ОксиДискО']",2,14,,4,3,2,,
Павел Тюлькин,[],0,95,8,19,10,5,,
Кирилл Тюрин,['СПбГУ'],1,12,,2,2,,,
Кирилл Удалов,['Юнион'],1,14,,,,1,,
София Ульянкина,[],0,15,,2,1,,,
Иван Ульянов,"['Фря Крю', 'Лаки Грасс', 'Рампейдж']",3,53,4,3,1,8,,2
Anastasia Usatenko,['Дикi Кралi'],1,8,3,2,1,1,,
Павел Усачев,['СПбГУ'],1,37,,9,4,4,,
Дарья Усачева,"['Lightning Fast', 'Шерлар']",2,27,3,4,2,4,,
Алишер Усманов,[],0,14,,1,,,,
Юлия Усынина,[],0,10,,1,,,,
Милана Ухтинская,"['Гирс-Юнайтед', 'Сборная ВлГУ']",2,59,,7,3,6,3,
Валерий Ушаков,"['ИТМО', 'Тени']",2,22,,5,1,3,,1
Варвара Ушакова,['Вышка'],1,2,,,,,,
Дмитро Федерлян,['E-Motion'],1,13,2,,,2,,1
Роман Федоров,"['ОксиДискО', 'МГУ', 'Миднайт Кобрас']",3,104,9,37,18,9,,
Дарья Федорович,[],0,14,2,,,,,
Валерий Федотовских,"['Лаки Грасс', 'Фреза']",2,98,8,19,10,12,1,
Ярослав Федулов,['ПандаБанда'],1,21,,1,,2,,
Филипп Федяков,"['МГТУ им. Баумана', 'Ми энд Май Манки']",2,46,2,9,6,,,2
Христина Фенюк,['Фоксес'],1,9,,,,2,,
Вероника Фетисова,"['Лемон Грасс', 'Майс']",2,37,4,2,1,5,,
Кира Фетисова,[],0,4,,,,1,,
Aidas Figoras,['Marių Meškos'],1,75,5,22,14,15,11,
Елена Филоненко (Дамирчан),"['Колибри', 'Догма', 'Чили']",3,51,11,19,9,3,,
Елена Фирганг,[],0,14,,3,2,2,,
Евгений Фокин,['Сокол'],1,39,7,3,2,6,,
Александр Фомин,"['Лемон Грасс', 'Сборная России ОД', 'Сборная России ЖД']",3,124,14,37,17,12,,
Петр Фомин,[],0,6,,,,,,
Мария Фомина,[],0,2,,,,,,
Александр Фомичёв,['Биозон'],1,52,3,2,,10,,
Константин Францкевич,[],0,3,,,,,,
Роман Фридлендер,['Ми энд Май Манки'],1,77,2,17,5,2,,
Георгий Фёдоров,['ЮПитер'],1,55,12,25,19,6,1,5
Виталий Хабаров,['К175'],1,21,,7,4,1,2,
Лилия Хайруллина,"['МГТУ им. Баумана', 'Бриллианс', 'СорриБро']",3,41,5,17,13,6,,
Мария Халидова,['СПбГУ'],1,22,,7,4,3,1,
Анна Хватова,[],0,3,,,,,,
Борис Хилько,['Вышка'],1,101,6,24,7,7,1,4
Валентин Хилько,['Вышка'],1,38,,5,2,1,,2
Никита Ходеев,[],0,1,,,,1,,
Евгений Хомутский,['Лигры'],1,28,,1,,4,,2
Константин Хомяков,[],0,2,,1,,,,
Александра Хрущ,"['Юнион', 'Лемон Грасс']",2,64,,6,4,7,2,
Михаил Худобин,['РеалФайв'],1,109,16,60,41,11,6,
Рустам Хусяинов,"['Майс', 'Ми энд Май Манки']",2,84,2,2,,5,,7
Алексей Цагареишвили,"['Сборная ВлГУ', 'Гирс-Юнайтед']",2,10,,1,,1,,
Родион Цаплин,['ПандаБанда'],1,91,5,9,1,11,,
Сергей Цветаев,['Lightning Fast'],1,1,,,,,,
Екатерина Цветкова,[],0,2,,,,,,
Игорь Циглер,['Озон'],1,16,,2,,2,,
Максим Цёсь,['Феникс'],1,73,10,16,3,13,1,
Артурас Чадас,"['Долгорукие', 'Taskas', 'x3']",3,74,15,27,17,1,2,8
Никита Чадромцев,[],0,31,3,2,1,2,2,
Евгений Чаев,['Вышка'],1,7,,1,1,,,
Даниил Чепенко,"['Долгорукие', 'Рампейдж', 'МГТУ им. Баумана']",3,86,12,19,11,5,1,
Роман Чепенко,['МГТУ им. Баумана'],1,5,,2,1,,,
Сергей Чепрасов,['ФинУниверситет'],1,11,,,,,,
Алина Черемина,['Саус Вест'],1,10,4,,,2,,
Иван Черепанов,['Катюша'],1,35,,7,3,2,,
Дарья Черепенникова,"['Лемон Грасс', 'Фреш']",2,29,5,7,3,3,,
Андрей Черкасов,['Lightning Fast'],1,1,,1,,,,
Илья Черкасов,"['ИТМО', 'ОксиДискО']",2,19,2,3,,1,,
Ольга Черноярова,"['Бриллианс', 'МПГУ']",2,42,2,8,2,7,1,
Татьяна Черных,['СПбГПМУ'],1,7,,2,,,,
Дарья Черёмина,['Вышка'],1,12,2,1,,,,
Константин Чикишев,['ИТМО'],1,7,,1,,1,,
Дмитрий Чинарёв,['Сокол'],1,32,5,8,8,4,,
Владислава Чувак,[],0,12,,,,1,,
Лиcа Чуль,"['Скай Про', 'Чили', 'Космик Гелз']",3,40,6,10,4,7,,5
Артемий Чураков,"['Тени', 'СПбПУ']",2,127,12,34,17,1,2,
Иван Чураков,[],0,13,,1,,1,,
Ксения Шабанова,[],0,3,,,,,,
Физалина Шаймурзина,['FireDogs'],1,9,,2,,2,,
Артём Шаляпин,['МГТУ им. Баумана'],1,19,2,4,2,1,,
Алмаз Шарафетдинов,['Уфимский Фрисби Клуб'],1,5,,,,,,
Валерий Шатилов,"['ЮПитер', 'Белки']",2,19,3,6,3,1,1,
Артем Шахпаронов,"['Ми энд Май Манки', 'Майс', 'Сенатор']",3,94,6,13,1,8,3,
Ксения Шевнина,"['Лемон Грасс', 'Фреш', 'Сборная России ЖД']",3,86,15,18,6,14,,
Ксения Шейкина,"['СПбГПМУ', 'Элвис Пресли']",2,37,8,18,11,2,3,
Михаил Шембаков,['Озон'],1,6,,,,1,,
Фёдор Шеметьев,[],0,9,,1,1,,,
Александр Шемяков,['Биозон'],1,17,,4,2,3,,
Марина Шепелева,"['Шерлар', 'Бриллианс']",2,11,2,,,,,
Андрей Шеремета,['Импульс'],1,9,3,2,,1,,
Никита Шестаков,['Магура'],1,2,,2,2,,,
Александр Шибакин,['Мустанги'],1,27,,7,3,2,1,
Артем Шиманов,['Мустанги'],1,4,2,2,2,,,
Егор Шипилов,['Шерлар'],1,7,,,,1,,
shiparian:),[],0,,,,,,,
Дмитрий Широков,[],0,1,,1,,,,
Юрий Шишка,[],0,54,5,15,9,,2,
Лидия Шишкина,['Easy Frisbee Team'],1,10,,1,,,,
Алексей Шишков,['Самарские Рыси'],1,18,,7,5,2,,
Всеволод Шишков,[],0,3,,,,,,
Степан Шлыков,['Катюша'],1,31,,14,10,2,,
Женя Шмаков,['Шерлар'],1,12,,1,,2,,
Виталий Шмелькин,['Долгорукие'],1,21,5,7,3,,,
Даня Шоломов,['ИТМО'],1,5,,,,,,
Vladimir Shpigun,[],0,2,,,,,,
Илья Шубин,[],0,14,2,,,,,1
Алина Щеглова,['Сборная Бикини-Боттом'],1,15,,4,1,1,1,
Фёдор Щепкин,['Easy Frisbee Team'],1,6,,3,,1,2,
Игорь Щербак,['Анклав'],1,17,3,2,,1,,
Полина Щербакова,['Lightning Fast'],1,15,,4,3,2,,
Александр Щукин,['МГУ'],1,5,,,,,,
Антон Щукин,['Скай Про'],1,37,4,1,1,3,,
Серёжа Щукин,['Вышка'],1,10,,1,,2,,
Алексей Эйдлин,"['Шерлар', 'РеалФайв', 'ФинУниверситет']",3,35,3,7,1,4,1,
Андрей Энкин,"['Шерлар', 'РеалФайв']",2,27,,2,,5,1,
Владимир Юдаков,[],0,20,,4,1,3,,1
Андрей Юденков,"['Белки', 'ПандаБанда']",2,16,2,1,1,4,,
Евгений Юрченко,['Фри Флай'],1,22,,10,4,2,,
Айгуль Язкулиева,['Сборная ВлГУ'],1,8,,1,,2,,
Кирилл Якименков,['МГУ'],1,35,3,7,3,3,,
Елена Яковлева,['Т.А.К.'],1,1,,1,1,,,
Артём Якубович,['Рухавiк'],1,13,3,3,1,,,
Дмитрий Якунин,['Сборная ВлГУ'],1,46,,1,,3,,
Алена Якунина,[],0,19,,2,1,,1,
Таисия Якунина,[],0,,,,,,,
Екатерина Якушева,"['МГУ', 'Лемон Грасс']",2,58,4,10,5,10,1,1
Искандер Ямбулатов,"['Вышка', 'Сокол']",2,27,2,5,2,1,,
Татьяна Яркина,"['ИТМО', 'Космик Гелз']",2,12,,4,1,3,,
Александр Ярошевич,[],0,19,3,4,2,,,
Ксения Ясалова,"['Саус Вест', 'Юниорская сборная России ЖД', 'Сборная России ЖД']",3,85,12,34,15,7,1,
Варвара Яценко,['Шерлар'],1,4,,,,,,1
Иван Яшкин,"['Freedom', 'Стрижи', 'Челябинск']",3,24,,6,2,3,,
Руслан спирин,[],0,3,,2,1,,,
